Hostname,IP Address,Type,TLS,TLS Key Exchange,Cert Key Type,Transition State,Risk Score,Risk Class,Cert Expiry
email.pnb.bank.in,1.6.46.95,mail_server,—,—,—,Unknown,825,quantum_critical,—
mail.pnb.bank.in,1.6.46.95,mail_server,—,—,—,Unknown,825,quantum_critical,—
mosmtp.pnb.bank.in,1.7.178.49,mail_server,—,—,—,Unknown,825,quantum_critical,—
admin.pnb.bank.in,1.7.178.30,admin_portal,TLSv1.3,RSA,—,Unknown,775,quantum_vulnerable,—
mypnb.pnb.bank.in,103.109.225.21,internet_banking,TLSv1.3,X25519,RSA,Classical,445,quantum_at_risk,99
mtdrelmbs.pnb.bank.in,103.109.225.62,internet_banking,TLSv1.3,RSA,—,Unknown,775,quantum_vulnerable,—
pfms.pnb.bank.in,103.109.225.178,internet_banking,TLSv1.3,X25519MLKEM768,RSA,Partial PQC,425,quantum_at_risk,99
apicasa.pnb.bank.in,103.109.227.85,api_gateway,—,—,—,Unknown,775,quantum_vulnerable,—
apptrk.pnb.bank.in,1.7.178.30,mobile_banking,TLSv1.2,ECDHE,RSA,Classical,445,quantum_at_risk,149
data-agg.pnb.bank.in,103.109.224.106,internet_banking,—,—,—,Unknown,775,quantum_vulnerable,—
dcms.pnb.bank.in,1.7.88.227,admin_portal,—,—,—,Unknown,775,quantum_vulnerable,—
depository.pnb.bank.in,103.109.227.123,internet_banking,—,—,—,Unknown,775,quantum_vulnerable,—
dpip.pnb.bank.in,103.109.224.102,internet_banking,—,—,—,Unknown,775,quantum_vulnerable,—
drms.pnb.bank.in,1.7.88.227,internet_banking,—,—,—,Unknown,775,quantum_vulnerable,—
fastag-branch.pnb.bank.in,10.170.0.174,internet_banking,—,—,—,Unknown,775,quantum_vulnerable,—
lensconnect.pnb.bank.in,103.109.225.125,api_gateway,—,—,—,Unknown,775,quantum_vulnerable,—
lensconnectpreprod.pnb.bank.in,103.109.225.123,api_gateway,—,—,—,Unknown,775,quantum_vulnerable,—
mcaapi.pnb.bank.in,103.109.227.36,api_gateway,TLSv1.3,X25519,RSA,Classical,445,quantum_at_risk,98
mdcportal.pnb.bank.in,103.109.224.139,internet_banking,—,—,—,Unknown,775,quantum_vulnerable,—
mdm.pnb.bank.in,103.109.224.157,internet_banking,—,—,—,Unknown,775,quantum_vulnerable,—
mtdapimbs.pnb.bank.in,103.109.225.63,api_gateway,—,—,—,Unknown,775,quantum_vulnerable,—
mtdstmbs.pnb.bank.in,103.109.224.70,internet_banking,—,—,—,Unknown,775,quantum_vulnerable,—
mypnb.pnb.bank.in,103.109.225.21,internet_banking,TLSv1.3,X25519,RSA,Classical,445,quantum_at_risk,99
